Category,Subcategory,Text
Approval,Invoice,"RE: Rock Project / Tree Removal / Landscaping Cleanup Project Invoices I approve invoices for payment.

Gina Curtis
President
Larimer Highlands HOA
    "
Maintenance,Other,"Re: Rock Project / Tree Removal / Landscaping Cleanup Project Invoices Thank you Gina for your prompt response.

Regards,
Nitin
    "
Maintenance,Other,"Fwd: Rock Project / Tree Removal / Landscaping Cleanup Project Invoices 

Get Outlook for    "
Information,Other,"Letterstream Deleted Job - BCA Budget Ratification Meeting Notice Nov 11 2019 Job

The following job has been deleted:

Job ID: Name: BCA Budget Ratification Meeting Notice Nov 11 2019

Job Type: _Express Letter

Received: October 8, 2019

Quantity: 107

Deleted By: pv Operation

Deleted Because: (optional reason)

If this information is not accurate, please contact LetterStream at or email the LetterStream Production Department at Production




LetterStream -- Copyright 2019 --    "
Other,Other,"Your daily briefing Hi PROPVIVO Customer Service,

Almost the end of the week!

[Briefing header]
[To Do]

Commitments and follow-ups

[Profile image]

Paul Armstrong

RE: [External]Jupena-Elmer +++File No: +++5135 Green Hills Avenue NE #C, Tacoma, WA 98422  HELP close date is Monday days ago you said, ""Will check again tomorrow and will get back to you by tomorrow.""

[Profile image]

Anna

Re: Water Intrusion m GarageB Unit they asked, ""Can you please ask them and add me on CC: why did the sump pump hose estimate go up?""

[Profile image]

Andy Momberg

RE: Seaview Terrace Townhouse Condominium Owners Association: Landscaping days ago they asked, ""Once you sign the proposal, please send me a copy of the proposal and I can get you set up in our system.""

[Profile image]

Roger Galicic

RE: Tower Elevator days ago you said, ""We will work with the board and will get back to you on portal in your service request.""

[Profile image]

Anna

Re: PV-CAS-6HC1BJ:Bike Stolen they asked, ""Please send this to the Board and ask them if we should send an announcement.""

[Profile image]

J.H. Vandal CPA

Re: Symphony Ridge Homeowners Association: Proposal for 2020 days ago they asked, ""Please cross out the amount and hand write in $1700.00.""

[Profile image]

robin

RE: Indemnification Agreement and you said, ""As you already created service request on portal, we will revert back to you on portal.""

Did you find this email helpful? Send Logo]

Microsoft Corporation

One Microsoft Way, Redmond, WA 98052,  |  Privacy  |  email is intended for services@propvivo.com

For people in Canada

This is a mandatory service communication. To set your contact preferences for other communications, visit the Promotional Communications Canada Inc.
1950 Meadowvale Blvd.
Mississauga, ON L5N 8L9 Canada
    "
Meeting,Organize Meeting,"Copper Ridge at North Creek Condo - 2021 Annual Meeting Announcement [Propvivo] Member,

Hope you are doing well and safe!

The 2021 Annual Meeting of Members of  Copper Ridge At North Creek Condo  will be held on Wednesday, March 24th, 2021 from 7:00 PM to 9:00 PM. The meeting will be an online meeting. Please Join meeting via zoom meeting.

URL: agenda for the meeting is enclosed along with this letter.

The Board would like to emphasize, that your presence and your vote is extremely important, since the HOA requires the quorum of the Members present in person or by proxy, in order to have a valid vote.

A proxy is only necessary if you will not be attending the meeting but we request you to send the proxy even if you are attending the meeting so that if you change your plan at the last moment, we will have your proxy as you vote. Please send your proxy to proxy@propvivo.com. If we don't get a quorum, the 2021 Annual Meeting will need to be rescheduled, resulting in additional large expenses for the Association, and wasted time for the homeowners who did attend the meeting.

If you are unable to attend the meeting, we have enclosed a proxy for your use. You can appoint any person who would attend the meeting and vote on your behalf, or you can appoint the President of the Board of Directors (default option).

Please mark your calendars now. We look forward to seeing you at the meeting on Wednesday, March 24th, 2021.

Thanks,    "
Maintenance,Repair,"Touraine - Sammamish WA - Pest Problem in 725 239th Ln SE, Sammamish WA Hi,

This is a follow up email to the conversation my wife Annie Kumar had with Victor earlier this afternoon regarding rat infestation in our townhome in the attic, crawl space and outside.

We are putting our townhome for sale this week and so did a home inspection and found rat activity. This has been an ongoing issue since last year but we never expected it to be inside the home. We had pest control come and service our home immediately. It was found that the attic has a hole through the neighbor's roof and  will need to be closed off to prevent future activity. We plan to complete repairs and close the openings in the attic on March, 19th 8am.

We would like to know how the HOA can help us with this issue and request to bear the expense of the repairs.  It was also recommended to have tree branches cut down near the house and especially the roof. The neighbor's backyard has some trees that are close to the house and have been notified of this issue.

Since we are putting our home for sale this week, there is an urgency to control and disclose this issue to the buyer, please kindly consider this as an escalation.

Please see both the home inspection and pest control inspection attached for your review.

You can reach us via email or (Annie) or (Kumar).

Thank you,
Kumar Somasundaram




    "
Information,Information Update,"Re: Touraine - Sammamish WA - Pest Problem in 725 239th Ln SE, Sammamish WA Hi Kumar,

We created service request on portal already right after receiving call from Annie.

We have responded you on portal and will keep you posted also.


Thanks,
Richa
    "
Meeting,Organize Meeting,"Please DocuSign Proxy: Westwood Village annual meeting Customer Service sent you a copy.
REVIEW DOCUMENT Customer Service
onlineaccounts@propvivo.com

Dear Homeowner,

We hope you are doing well and safe!

The 2021 Annual Meeting of Members of  Westwood Village Owners Association will be held on Monday, March 15th, 2021 from 6:00 PM to 7:00 PM. The meeting will be an online meeting. Please join the meeting via Microsoft Teams.

URL: agenda for the meeting is in the meeting letter enclosed with this announcement.

The Board would like to emphasize that your presence and your vote is extremely important, since the HOA requires the quorum of the Members present in person or by proxy, in order to have a valid vote.

A proxy is only necessary if you will not be attending the meeting, but we request you to send the proxy even if you are attending the meeting so that if you change your plan at the last moment, we will have your proxy as you vote. Please send your proxy to proxy@propvivo.com. If we don't get a quorum, we will have to reschedule the 2021 Annual Meeting to meet the requirements of governing documents, resulting in additional expenses for the Association in organizing the meeting.

If you are unable to attend the meeting, we have enclosed a proxy for your use. You can appoint any person who would attend the meeting and vote on your behalf, and mention his/her designation or you can appoint the President of the Board of Directors (default option).

We look forward to seeing you at the meeting on Monday, March 15th, 2021.

Thanks,    "
Documents,Other,"Re: PV-CAS-6IV5PH:Hire a towing company Document is missing.
    "
Contract,Payment,"RE: PV-CAS-6IV5PH:Hire a towing company Dear Board,

Please find the attached towing contract from Lang Towing.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Luis Nash.
propVIVO
[cid:image001.png@01D71013.BA0287B0]
    "
Meeting,Annual Meeting,"Voided: Please DocuSign Proxy: Westwood Village annual meeting Customer Service voided Please DocuSign Proxy: Westwood Village annual meeting.
PROPVIVO Customer Service
onlineaccounts@propvivo.com

Please DocuSign Proxy: Westwood Village annual meeting has been voided for the following reason:
Meeting completed, so voiding the proxy.

Envelope ID
88748a4f-b943-48ff-a5ec-1371c5b9f198

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Meeting,Board Meeting,"Woodside HOA - March 2021 Board Meeting Announcement [Propvivo] Homeowner,

We hope that you are doing well.

The March 2021 Board Meeting of Members of Woodside Homeowners Association will be held over Zoom on March 15th, 2021 from 7:00 PM  to 9:00 PM.

Join Zoom Meeting - ID:  look forward to seeing you at the meeting.

Thanks & Regards
propVIVO

Login To Portal sign up for propVIVO ?

""This email was auto generated and this account is not monitored.""

[phone] +1 (888) 392-3515 <tel:+1%20(888)%20392-3515>
[logo]  Why Request for      [print]  [Instagram]  [twitter]  [facebook]  Information from PropVIVO

Contact |    "
Maintenance,Other,Bear Creek Landscaping & Construction Final Cut: Spring is    
Approval,Invoice,"Letterstream Order Confirmation - ILH0009401 Welcome Kit & 2019 CB Confirmation

Thank you for using LetterStream!

We received the following job:

Job Name: ILH0009401 Welcome Kit & 2019 CB

Job ID: Type: _Express Coupon Sheets

Received: October 5, 2019

Quantity: 1

Mailing Method: First-Class

Status: deletes done - waiting for printing

Inserts requested:
1 sheet #6 3/4 Return (Left Window Secure) Simplex Black
4 sheets 8.5x11 20 lb Plain White Simplex **COLOR**
1 sheet 8.5x11 20 lb Plain White Simplex **COLOR**
1 sheet 8.5x11 20 lb Plain White Simplex **COLOR**

You will receive one more email after the job has been mailed.

At any time you may check the status of this job at the LetterStream website.

If this information is not accurate, please contact LetterStream at or email the LetterStream Production Department at again, thank you for your order.


LetterStream Production




LetterStream -- Copyright 2019 --    "
Governing Documents,Amendments,"Seaview Terrace: Consent to Fifth Amendment 2021 Customer Service sent you a copy.
REVIEW DOCUMENTS Customer Service
onlineaccounts@propvivo.com

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
72047BCDB0B04925827A2A58D68925613

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
